"SYMBOL 
","OPEN 
","HIGH 
","LOW 
","PREV. CLOSE 
","LTP 
","INDICATIVE CLOSE 
","CHNG 
","%CHNG 
","VOLUME 
(shares)","VALUE 
 (₹ Crores)","52W H 
","52W L 
","30 D   %CHNG 
","365 D % CHNG 
 24-Apr-2024"
"NIFTY 50","24,289.00","24,365.45","23,847.85","24,246.70","24,039.35","-","-207.35","-0.86","38,77,41,866","33,430.67","26,277.35","21,281.45","2.35","6.51"
"SBILIFE","1,723.50","1,762.00","1,651.10","1,608.20","1,691.00","-","82.80","5.15","1,03,21,746","1,750.21","1,936.00","1,307.70","9.98","17.35"
"TECHM","1,455.40","1,473.90","1,375.00","1,445.20","1,460.00","-","14.80","1.02","82,11,667","1,183.38","1,807.70","1,172.80","3.23","22.83"
"TCS","3,420.00","3,477.80","3,405.00","3,401.60","3,434.00","-","32.40","0.95","27,42,991","944.14","4,592.25","3,056.05","-5.17","-10.49"
"INFY","1,475.50","1,501.70","1,463.50","1,471.40","1,480.00","-","8.60","0.58","83,29,979","1,236.55","2,006.45","1,307.00","-7.46","2.90"
"ULTRACEMCO","12,149.00","12,304.00","11,860.00","12,159.00","12,190.00","-","31.00","0.25","4,12,558","501.35","12,304.00","9,408.05","7.32","26.37"
"HINDUNILVR","2,331.90","2,341.90","2,294.40","2,325.30","2,328.10","-","2.80","0.12","28,59,858","662.03","3,035.00","2,136.00","3.84","4.54"
"GRASIM","2,726.00","2,739.90","2,675.20","2,729.20","2,732.10","-","2.90","0.11","6,49,356","175.98","2,877.75","2,171.60","5.93","15.52"
"INDUSINDBK","822.00","829.00","807.35","819.75","820.00","-","0.25","0.03","1,17,24,192","962.02","1,550.00","606.00","25.49","-45.03"
"ICICIBANK","1,410.00","1,414.80","1,388.40","1,402.70","1,403.00","-","0.30","0.02","1,17,05,093","1,639.78","1,436.00","1,051.05","5.16","26.13"
"RELIANCE","1,303.50","1,325.20","1,288.10","1,301.60","1,301.00","-","-0.60","-0.05","1,44,31,012","1,880.78","1,608.80","1,114.85","2.15","-55.46"
"HDFCBANK","1,924.80","1,933.00","1,891.80","1,916.80","1,908.00","-","-8.80","-0.46","92,50,439","1,768.10","1,978.90","1,426.80","5.79","26.51"
"ITC","430.05","432.70","423.30","430.05","427.60","-","-2.45","-0.57","2,29,44,377","977.41","528.50","390.15","5.02","-2.23"
